BitSize,Trial,Sample,NumberOfAttempts
8,4,1,30
8,4,2,176
8,4,3,1
8,4,4,309
8,4,5,124
8,4,6,562
8,4,7,3
8,4,8,292
8,4,9,291
8,4,10,232
8,4,11,221
8,4,12,295
8,4,13,102
8,4,14,715
8,4,15,123
8,4,16,151
8,4,17,171
8,4,18,113
8,4,19,75
8,4,20,8
8,4,21,117
8,4,22,49
8,4,23,2
8,4,24,4
8,4,25,61
8,4,26,214
8,4,27,81
8,4,28,1151
8,4,29,155
8,4,30,217
8,4,31,14
8,4,32,105
8,4,33,171
8,4,34,76
8,4,35,151
8,4,36,378
8,4,37,212
8,4,38,155
8,4,39,176
8,4,40,164
8,4,41,569
8,4,42,380
8,4,43,199
8,4,44,83
8,4,45,274
8,4,46,51
8,4,47,26
8,4,48,240
8,4,49,223
8,4,50,275
10,4,1,2848
10,4,2,3
10,4,3,1110
10,4,4,199
10,4,5,257
10,4,6,1054
10,4,7,633
10,4,8,595
10,4,9,231
10,4,10,1615
10,4,11,1292
10,4,12,6330
10,4,13,645
10,4,14,2720
10,4,15,316
10,4,16,1139
10,4,17,89
10,4,18,138
10,4,19,210
10,4,20,84
10,4,21,653
10,4,22,441
10,4,23,1061
10,4,24,363
10,4,25,808
10,4,26,443
10,4,27,79
10,4,28,609
10,4,29,601
10,4,30,2358
10,4,31,1069
10,4,32,422
10,4,33,1758
10,4,34,184
10,4,35,1168
10,4,36,246
10,4,37,1781
10,4,38,2314
10,4,39,2755
10,4,40,993
10,4,41,228
10,4,42,1345
10,4,43,259
10,4,44,777
10,4,45,298
10,4,46,261
10,4,47,611
10,4,48,301
10,4,49,79
10,4,50,1556
12,4,1,1711
12,4,2,742
12,4,3,23
12,4,4,2750
12,4,5,1563
12,4,6,2410
12,4,7,4897
12,4,8,1903
12,4,9,12371
12,4,10,3182
12,4,11,1603
12,4,12,8333
12,4,13,781
12,4,14,1689
12,4,15,12015
12,4,16,643
12,4,17,5034
12,4,18,5529
12,4,19,4021
12,4,20,4126
12,4,21,1524
12,4,22,3474
12,4,23,4368
12,4,24,3051
12,4,25,744
12,4,26,5402
12,4,27,2209
12,4,28,5635
12,4,29,1907
12,4,30,5689
12,4,31,5
12,4,32,6866
12,4,33,5834
12,4,34,2792
12,4,35,6541
12,4,36,9282
12,4,37,709
12,4,38,3933
12,4,39,1451
12,4,40,6041
12,4,41,3697
12,4,42,539
12,4,43,1649
12,4,44,2366
12,4,45,2876
12,4,46,177
12,4,47,9874
12,4,48,3538
12,4,49,710
12,4,50,624
14,4,1,5940
14,4,2,63934
14,4,3,19583
14,4,4,898
14,4,5,14735
14,4,6,15900
14,4,7,22805
14,4,8,9177
14,4,9,1410
14,4,10,911
14,4,11,2772
14,4,12,1322
14,4,13,48866
14,4,14,10587
14,4,15,60746
14,4,16,23118
14,4,17,7891
14,4,18,9285
14,4,19,6911
14,4,20,3305
14,4,21,21775
14,4,22,8991
14,4,23,16507
14,4,24,8455
14,4,25,17423
14,4,26,4698
14,4,27,9433
14,4,28,9403
14,4,29,39483
14,4,30,5628
14,4,31,6666
14,4,32,2271
14,4,33,8721
14,4,34,49876
14,4,35,5311
14,4,36,11400
14,4,37,23906
14,4,38,26308
14,4,39,27407
14,4,40,10006
14,4,41,5003
14,4,42,10965
14,4,43,6770
14,4,44,20123
14,4,45,6039
14,4,46,13214
14,4,47,225
14,4,48,27678
14,4,49,31924
14,4,50,48616
16,4,1,30480
16,4,2,143872
16,4,3,64456
16,4,4,24614
16,4,5,49532
16,4,6,31255
16,4,7,2574
16,4,8,205942
16,4,9,51421
16,4,10,81431
16,4,11,2519
16,4,12,58416
16,4,13,129836
16,4,14,5410
16,4,15,66011
16,4,16,670
16,4,17,8641
16,4,18,30175
16,4,19,87349
16,4,20,96249
16,4,21,156120
16,4,22,34630
16,4,23,60575
16,4,24,13579
16,4,25,20605
16,4,26,2137
16,4,27,98786
16,4,28,10995
16,4,29,7475
16,4,30,150955
16,4,31,153105
16,4,32,25482
16,4,33,1622
16,4,34,72650
16,4,35,19706
16,4,36,169049
16,4,37,45048
16,4,38,9621
16,4,39,47680
16,4,40,35936
16,4,41,20581
16,4,42,94072
16,4,43,71465
16,4,44,95126
16,4,45,47600
16,4,46,125701
16,4,47,34280
16,4,48,3718
16,4,49,252302
16,4,50,6095
18,4,1,461966
18,4,2,326312
18,4,3,104930
18,4,4,357438
18,4,5,165023
18,4,6,170108
18,4,7,765142
18,4,8,277840
18,4,9,137766
18,4,10,150521
18,4,11,113329
18,4,12,460472
18,4,13,840958
18,4,14,667067
18,4,15,181332
18,4,16,7212
18,4,17,3666
18,4,18,66601
18,4,19,96232
18,4,20,209320
18,4,21,77699
18,4,22,104293
18,4,23,58203
18,4,24,261738
18,4,25,291276
18,4,26,61107
18,4,27,236072
18,4,28,165165
18,4,29,480526
18,4,30,416070
18,4,31,261018
18,4,32,5319
18,4,33,411300
18,4,34,683781
18,4,35,53609
18,4,36,4030
18,4,37,239492
18,4,38,208235
18,4,39,279610
18,4,40,425022
18,4,41,656979
18,4,42,1605051
18,4,43,435259
18,4,44,375282
18,4,45,187394
18,4,46,283775
18,4,47,165516
18,4,48,53846
18,4,49,228739
18,4,50,77875
20,4,1,299410
20,4,2,1173927
20,4,3,729095
20,4,4,1331200
20,4,5,2327472
20,4,6,269649
20,4,7,206647
20,4,8,1182414
20,4,9,685889
20,4,10,703490
20,4,11,506722
20,4,12,747793
20,4,13,4660662
20,4,14,31949
20,4,15,166311
20,4,16,866243
20,4,17,3180685
20,4,18,485759
20,4,19,3026062
20,4,20,604541
20,4,21,4689141
20,4,22,527278
20,4,23,84716
20,4,24,22339
20,4,25,409757
20,4,26,1651627
20,4,27,4675278
20,4,28,1581420
20,4,29,65527
20,4,30,349933
20,4,31,1965471
20,4,32,108284
20,4,33,1923334
20,4,34,853537
20,4,35,1246823
20,4,36,610713
