BitSize,Trial,Sample,NumberOfAttempts
12,4,45,104
12,4,46,143
12,4,47,121
12,4,48,123
12,4,49,56
12,4,50,42
14,4,1,67
14,4,2,50
14,4,3,114
14,4,4,392
14,4,5,236
14,4,6,80
14,4,7,230
14,4,8,91
14,4,9,71
14,4,10,116
14,4,11,159
14,4,12,104
14,4,13,21
14,4,14,298
14,4,15,134
14,4,16,104
14,4,17,232
14,4,18,87
14,4,19,97
14,4,20,146
14,4,21,234
14,4,22,156
14,4,23,81
14,4,24,47
14,4,25,63
14,4,26,191
14,4,27,99
14,4,28,101
14,4,29,275
14,4,30,171
14,4,31,92
14,4,32,167
14,4,33,101
14,4,34,405
14,4,35,82
14,4,36,160
14,4,37,293
14,4,38,113
14,4,39,318
14,4,40,178
14,4,41,187
14,4,42,64
14,4,43,173
14,4,44,73
14,4,45,80
14,4,46,129
14,4,47,343
14,4,48,213
14,4,49,45
14,4,50,196
16,4,1,401
16,4,2,319
16,4,3,346
16,4,4,203
16,4,5,269
16,4,6,694
16,4,7,331
16,4,8,331
16,4,9,292
16,4,10,338
16,4,11,134
16,4,12,210
16,4,13,250
16,4,14,413
16,4,15,285
16,4,16,523
16,4,17,124
16,4,18,389
16,4,19,439
16,4,20,297
16,4,21,153
16,4,22,503
16,4,23,265
16,4,24,258
16,4,25,374
16,4,26,384
16,4,27,448
16,4,28,401
16,4,29,525
16,4,30,35
16,4,31,84
16,4,32,26
16,4,33,113
16,4,34,719
16,4,35,209
16,4,36,322
16,4,37,354
16,4,38,578
16,4,39,205
16,4,40,253
16,4,41,532
16,4,42,135
16,4,43,141
16,4,44,368
16,4,45,321
16,4,46,364
16,4,47,203
16,4,48,700
16,4,49,220
16,4,50,341
18,4,1,575
18,4,2,281
18,4,3,266
18,4,4,137
18,4,5,1011
18,4,6,907
18,4,7,499
18,4,8,727
18,4,9,189
18,4,10,847
18,4,11,893
18,4,12,489
18,4,13,362
18,4,14,754
18,4,15,852
18,4,16,52
18,4,17,1256
18,4,18,731
18,4,19,519
18,4,20,883
18,4,21,468
18,4,22,746
18,4,23,709
18,4,24,748
18,4,25,440
18,4,26,569
18,4,27,1001
18,4,28,723
18,4,29,414
18,4,30,1059
18,4,31,81
18,4,32,544
18,4,33,772
18,4,34,441
18,4,35,598
18,4,36,1086
18,4,37,393
18,4,38,756
18,4,39,310
18,4,40,918
18,4,41,1143
18,4,42,63
18,4,43,1208
18,4,44,586
18,4,45,1215
18,4,46,607
18,4,47,1045
18,4,48,849
18,4,49,179
18,4,50,704
20,4,1,1689
20,4,2,685
20,4,3,1417
20,4,4,1513
20,4,5,2071
20,4,6,98
20,4,7,2056
20,4,8,836
20,4,9,677
20,4,10,1265
20,4,11,1362
20,4,12,484
20,4,13,771
20,4,14,739
20,4,15,175
20,4,16,533
20,4,17,1267
20,4,18,1534
20,4,19,2897
20,4,20,293
20,4,21,899
20,4,22,729
20,4,23,749
20,4,24,843
20,4,25,757
20,4,26,859
20,4,27,1335
20,4,28,453
20,4,29,810
20,4,30,1756
20,4,31,1913
20,4,32,1208
20,4,33,923
20,4,34,958
20,4,35,887
20,4,36,982
20,4,37,1241
20,4,38,492
20,4,39,1615
20,4,40,249
20,4,41,294
20,4,42,907
20,4,43,2225
20,4,44,1480
20,4,45,918
20,4,46,438
20,4,47,553
20,4,48,1378
20,4,49,981
20,4,50,916
22,4,1,1643
22,4,2,1555
22,4,3,2888
22,4,4,997
22,4,5,2733
22,4,6,1162
22,4,7,753
22,4,8,2447
22,4,9,3176
22,4,10,1805
22,4,11,3862
22,4,12,2384
22,4,13,1165
22,4,14,627
22,4,15,2762
22,4,16,4306
22,4,17,3300
22,4,18,1934
22,4,19,2185
22,4,20,2297
22,4,21,1195
22,4,22,2133
22,4,23,1927
22,4,24,3252
22,4,25,2392
22,4,26,1884
22,4,27,3042
22,4,28,1833
22,4,29,2902
22,4,30,3726
22,4,31,5116
22,4,32,5493
22,4,33,2493
22,4,34,2615
22,4,35,3078
22,4,36,2255
22,4,37,1779
22,4,38,2487
22,4,39,3242
22,4,40,1902
22,4,41,1075
22,4,42,2947
22,4,43,1644
22,4,44,1486
22,4,45,762
22,4,46,3932
22,4,47,4214
22,4,48,3152
22,4,49,2356
22,4,50,1987
