BitSize,Trial,Sample,NumberOfAttempts
8,3,1,491
8,3,2,290
8,3,3,47
8,3,4,23
8,3,5,527
8,3,6,192
8,3,7,82
8,3,8,92
8,3,9,140
8,3,10,311
8,3,11,143
8,3,12,330
8,3,13,323
8,3,14,161
8,3,15,461
8,3,16,217
8,3,17,90
8,3,18,18
8,3,19,568
8,3,20,839
8,3,21,540
8,3,22,885
8,3,23,703
8,3,24,189
8,3,25,241
8,3,26,27
8,3,27,53
8,3,28,749
8,3,29,319
8,3,30,116
8,3,31,590
8,3,32,469
8,3,33,188
8,3,34,65
8,3,35,408
8,3,36,144
8,3,37,172
8,3,38,556
8,3,39,2
8,3,40,111
8,3,41,48
8,3,42,408
8,3,43,105
8,3,44,407
8,3,45,365
8,3,46,34
8,3,47,445
8,3,48,133
8,3,49,25
8,3,50,5
10,3,1,1307
10,3,2,100
10,3,3,439
10,3,4,4192
10,3,5,871
10,3,6,175
10,3,7,29
10,3,8,3047
10,3,9,949
10,3,10,976
10,3,11,4923
10,3,12,872
10,3,13,1105
10,3,14,95
10,3,15,1351
10,3,16,49
10,3,17,1363
10,3,18,87
10,3,19,1756
10,3,20,689
10,3,21,234
10,3,22,521
10,3,23,46
10,3,24,2157
10,3,25,1207
10,3,26,1218
10,3,27,776
10,3,28,423
10,3,29,764
10,3,30,2833
10,3,31,746
10,3,32,873
10,3,33,754
10,3,34,561
10,3,35,54
10,3,36,86
10,3,37,62
10,3,38,134
10,3,39,3045
10,3,40,186
10,3,41,193
10,3,42,485
10,3,43,96
10,3,44,500
10,3,45,379
10,3,46,933
10,3,47,3803
10,3,48,494
10,3,49,350
10,3,50,1461
12,3,1,3659
12,3,2,4735
12,3,3,3019
12,3,4,7880
12,3,5,7489
12,3,6,4017
12,3,7,3664
12,3,8,11315
12,3,9,3030
12,3,10,2938
12,3,11,9717
12,3,12,5167
12,3,13,7189
12,3,14,1569
12,3,15,6891
12,3,16,14434
12,3,17,1293
12,3,18,3633
12,3,19,8994
12,3,20,2020
12,3,21,269
12,3,22,1869
12,3,23,2455
12,3,24,1516
12,3,25,483
12,3,26,2953
12,3,27,7569
12,3,28,5489
12,3,29,2677
12,3,30,5802
12,3,31,544
12,3,32,1013
12,3,33,3887
12,3,34,1321
12,3,35,418
12,3,36,3916
12,3,37,13717
12,3,38,4636
12,3,39,1037
12,3,40,1293
12,3,41,146
12,3,42,898
12,3,43,2829
12,3,44,17780
12,3,45,8861
12,3,46,2751
12,3,47,6984
12,3,48,1925
12,3,49,4027
12,3,50,5672
14,3,1,2151
14,3,2,24155
14,3,3,17982
14,3,4,92764
14,3,5,6863
14,3,6,39459
14,3,7,17448
14,3,8,450
14,3,9,27606
14,3,10,8942
14,3,11,13535
14,3,12,12272
14,3,13,8041
14,3,14,14587
14,3,15,15151
14,3,16,17127
14,3,17,4485
14,3,18,5050
14,3,19,1210
14,3,20,13445
14,3,21,36240
14,3,22,7214
14,3,23,3989
14,3,24,8169
14,3,25,9321
14,3,26,7713
14,3,27,9104
14,3,28,4116
14,3,29,16444
14,3,30,9344
14,3,31,46266
14,3,32,38393
14,3,33,21377
14,3,34,20535
14,3,35,5775
14,3,36,17858
14,3,37,10597
14,3,38,3482
14,3,39,6547
14,3,40,27990
14,3,41,27435
14,3,42,20335
14,3,43,1436
14,3,44,13873
14,3,45,51968
14,3,46,20540
14,3,47,4520
14,3,48,44788
14,3,49,47215
14,3,50,20953
16,3,1,48586
16,3,2,961
16,3,3,28743
16,3,4,3059
16,3,5,4173
16,3,6,69344
16,3,7,155043
16,3,8,183312
16,3,9,305
16,3,10,118515
16,3,11,5887
16,3,12,2442
16,3,13,88841
16,3,14,49491
16,3,15,2804
16,3,16,115399
16,3,17,14172
16,3,18,25364
16,3,19,43019
16,3,20,14195
16,3,21,44955
16,3,22,41179
16,3,23,18848
16,3,24,36539
16,3,25,158892
16,3,26,79646
16,3,27,24548
16,3,28,39340
16,3,29,209991
16,3,30,150894
16,3,31,49039
16,3,32,272979
16,3,33,31115
16,3,34,115447
16,3,35,168694
16,3,36,13702
16,3,37,45820
16,3,38,27969
16,3,39,23066
16,3,40,91789
16,3,41,7277
16,3,42,20239
16,3,43,220235
16,3,44,42995
16,3,45,5290
16,3,46,9435
16,3,47,179867
16,3,48,24035
16,3,49,106971
16,3,50,24706
18,3,1,217578
18,3,2,272838
18,3,3,64800
18,3,4,15068
18,3,5,16632
18,3,6,282053
18,3,7,1174005
18,3,8,270903
18,3,9,170296
18,3,10,110462
18,3,11,81622
18,3,12,426421
18,3,13,26481
18,3,14,252082
18,3,15,82279
18,3,16,289984
18,3,17,141051
18,3,18,254724
18,3,19,64581
18,3,20,4069
18,3,21,266575
18,3,22,6113
18,3,23,6111
18,3,24,178628
18,3,25,203486
18,3,26,21788
18,3,27,169009
18,3,28,204333
18,3,29,222162
18,3,30,102500
18,3,31,319339
18,3,32,141844
18,3,33,661690
18,3,34,792425
18,3,35,178834
18,3,36,347733
18,3,37,472770
18,3,38,315915
18,3,39,178213
18,3,40,171192
18,3,41,25904
18,3,42,601052
18,3,43,98396
18,3,44,632019
18,3,45,19561
18,3,46,522369
18,3,47,66919
18,3,48,225833
18,3,49,69471
18,3,50,335987
20,3,1,1737929
20,3,2,1050000
20,3,3,2058770
20,3,4,3037881
20,3,5,652426
20,3,6,585181
20,3,7,15961
20,3,8,2139274
20,3,9,860575
20,3,10,474978
20,3,11,4816395
20,3,12,987248
20,3,13,100893
20,3,14,17654
20,3,15,119077
20,3,16,856430
20,3,17,227939
20,3,18,810389
20,3,19,2636949
20,3,20,1846060
20,3,21,133376
20,3,22,1718392
20,3,23,530129
20,3,24,467835
20,3,25,230716
20,3,26,1497182
20,3,27,1011472
20,3,28,646503
20,3,29,513275
20,3,30,2523841
20,3,31,1436826
20,3,32,1398603
20,3,33,801031
20,3,34,912194
20,3,35,512007
20,3,36,851847
20,3,37,511500
20,3,38,731314
20,3,39,1543786
20,3,40,1254967
20,3,41,26162
20,3,42,1975366
20,3,43,2722738
20,3,44,104887
20,3,45,355802
20,3,46,2816014
20,3,47,374779
20,3,48,347363
20,3,49,1168447
20,3,50,11259
22,3,1,8970979
22,3,2,28893
22,3,3,7778682
22,3,4,4105351
22,3,5,705046
22,3,6,9053147
22,3,7,342378
22,3,8,543319
22,3,9,1401129
22,3,10,1126828
22,3,11,5192798
22,3,12,600381
22,3,13,2733344
22,3,14,10189709
22,3,15,15205173
22,3,16,669992
22,3,17,2677031
22,3,18,244368
22,3,19,7331258
22,3,20,3102850
22,3,21,7396766
22,3,22,11018736
22,3,23,5952749
22,3,24,676292
22,3,25,1874140
22,3,26,2780318
22,3,27,115491
22,3,28,1238930
22,3,29,1384962
22,3,30,2575160
22,3,31,2524723
22,3,32,7822852
22,3,33,6315908
22,3,34,4690395
22,3,35,12621864
22,3,36,1890135
22,3,37,1012208
22,3,38,8882774
22,3,39,698623
22,3,40,2107129
22,3,41,6111104
22,3,42,5826175
22,3,43,4004713
22,3,44,1611480
22,3,45,859274
22,3,46,5080234
22,3,47,1827583
22,3,48,1223568
22,3,49,4609195
22,3,50,347148
